Subclass/&MonkSubclassMonasticTraditionTitle	Tradition monastique
Subclass/&MonkSubclassMonasticTraditionDescription	Sélectionnez une tradition monastique
Stage/&SubclassSelectionStageMonasticTraditionHeader	Tradition monastique
Stage/&SubclassSelectionStageMonasticTraditionTitle	Moine Tradition monastique
Stage/&SubclassSelectionStageMonasticTraditionFeatures	Caractéristiques de la tradition monastique
Class/&MonkClassTitle	Moine
Class/&MonkClassDescription	Pour le véritable exemplaire, l'habileté martiale transcende le champ de bataille - c'est un style de vie, une doctrine, un état d'esprit. Ces guerriers-artistes recherchent des méthodes de combat au-delà des épées et des boucliers, trouvant en eux des armes tout aussi capables de paralyser ou de tuer que n'importe quelle lame. Ces moines (ainsi appelés car ils adhèrent à des philosophies anciennes et à des disciplines martiales strictes) élèvent leur corps pour devenir des armes de guerre, d'ascètes luttant à des bagarreurs autodidactes. Les moines empruntent le chemin de la discipline, et ceux qui ont la volonté d'endurer ce chemin découvrent en eux-mêmes non pas ce qu'ils sont, mais ce qu'ils sont censés être.
Feature/&MonkWeaponProficiencyTitle	Compétences en armes de moine
Feature/&MonkArmorProficiencyTitle	Compétences en armure de moine
Feature/&MonkClassSkillPointPoolTitle	Compétences de moine
Feature/&MonkClassUnarmoredDefenseTitle	Défense sans armure
Feature/&MonkClassUnarmoredDefenseDescription	A partir du niveau 1, tant que vous ne portez pas d'armure et ne brandissez pas de bouclier, votre CA est égale à 10 + votre modificateur de Dextérité + votre modificateur de Sagesse.
Feature/&MonkClassMartialArtsTitle	Arts martiaux
Feature/&MonkClassMartialArtsDescription	Au niveau 1, votre pratique des arts martiaux vous donne la maîtrise des styles de combat qui utilisent des frappes à mains nues et des armes de moine, qui sont des épées courtes et toute arme de mêlée simple qui n'a pas la propriété à deux mains ou lourde.\nVous bénéficiez des avantages suivants tant que vous n'êtes pas armé ou que vous n'utilisez que des armes de moine et que vous ne portez pas d'armure ou de bouclier.\n- Vous pouvez utiliser la Dextérité au lieu de la Force pour les Jets d'Attaque et de Dégâts de vos attaques à mains nues et de vos armes de moine.\n- Vous pouvez lancer un d4 à la place des dégâts normaux de votre attaque à mains nues ou de votre arme de moine. Ce dé change au fur et à mesure que vous gagnez des niveaux de moine (d6 au niveau 5, d8 au niveau 11, d10 au niveau 17).\n- Lorsque vous utilisez l'action Attaque avec une Frappe à mains nues ou une arme de moine à Votre tour, vous pouvez effectuer une Frappe à mains nues en tant qu'Action bonus.
Feature/&MonkClassUnarmoredMovementTitle	Mouvement non blindé
Feature/&MonkClassUnarmoredMovementDescription	À partir du niveau 2, votre vitesse augmente de 3 mètres tant que vous ne portez pas d'armure ou de bouclier. Ce bonus augmente lorsque vous atteignez certains niveaux de moine.
Feature/&MonkClassUnarmoredMovementImprovementTitle	Amélioration du mouvement non blindé
Feature/&MonkClassUnarmoredMovementImprovementDescription	Au niveau <LEVEL>, votre bonus de vitesse de vitesse sans armure passe à <PIEDS> pieds tant que vous ne portez pas d'armure ou de bouclier.
Feature/&MonkClassKiTitle	Ki
Feature/&MonkClassKiDescription	À partir du niveau 2, votre entraînement vous permet d'exploiter l'énergie mystique du ki. Votre accès à cette énergie est représenté par un nombre de points ki, qui est égal à votre niveau de moine. Vous pouvez dépenser ces points pour alimenter diverses fonctionnalités de ki.\nVos points ki sont reconstitués après un court repos.\nCertaines de vos fonctionnalités de ki nécessitent que votre cible effectue un jet de sauvegarde pour résister aux effets de la fonctionnalité. Le DD du jet de sauvegarde est calculé comme suit :\nKi save DC = 8 + votre bonus de maîtrise + votre modificateur de Sagesse.
Feature/&MonkClassFlurryOfBlowsPowerTitle	Rafale de coups
Feature/&MonkClassFlurryOfBlowsPowerDescription	Immédiatement après avoir effectué l'action Attaquer à votre tour, vous pouvez dépenser 1 point de ki pour effectuer deux frappes à mains nues en tant qu'action bonus.
Feature/&MonkClassPatientDefensePowerTitle	Défense des patients
Feature/&MonkClassPatientDefensePowerDescription	Vous pouvez dépenser 1 point ki pour effectuer l'action Esquive en tant qu'action bonus à votre tour.
Feature/&MonkClassStepOfTheWindPowerTitle	Pas du vent
Feature/&MonkClassStepOfTheWindDashPowerTitle	Pas du vent (Dash)
Feature/&MonkClassStepOfTheWindDisengagePowerTitle	Pas du vent (Désengager)
Feature/&MonkClassStepOfTheWindPowerDescription	Vous pouvez dépenser 1 point de ki pour effectuer l'action Désengagement ou Dash en tant qu'action bonus lors de votre tour, et votre distance de saut est doublée pour le tour.
Feature/&MonkClassDeflectMissilesTitle	Dévier les missiles
Feature/&MonkClassDeflectMissilesDescription	À partir du niveau 3, vous pouvez utiliser votre réaction pour dévier ou attraper le missile lorsque vous êtes touché par une attaque avec une arme à distance. Lorsque vous le faites, les dégâts que vous subissez de l'attaque sont réduits de 1d10 + votre modificateur de Dextérité + votre niveau de moine.
Feature/&MonkClasSlowfallTitle	Ralentissement
Feature/&MonkClasSlowfallDescription	À partir du niveau 4, vous pouvez utiliser votre Réaction lorsque vous tombez pour éviter que des dommages ne tombent et atterrissent sur vos pieds.
Reaction/&UseMonkClasSlowfallPowerReactDescription	Utilisez votre réaction pour éviter les dommages causés par une chute et atterrir sur vos pieds.
Feature/&MonkClassStunningStrikeTitle	Frappe étourdissante
Feature/&MonkClassStunningStrikeDescription	À partir du niveau 5, vous pouvez interférer avec le flux de ki dans le corps d'un adversaire. Lorsque vous touchez une autre créature avec une attaque au corps à corps avec une arme, vous pouvez dépenser 1 point de ki pour tenter une frappe étourdissante. La cible doit réussir un jet de sauvegarde de Constitution ou être étourdie jusqu'à la fin de votre prochain tour.
Reaction/&SpendMonkClassStunningStrikePowerReactDescription	Dépensez 1 point de ki pour tenter d'étourdir la cible.
Feature/&MonkClassKiEmpoweredStrikesTitle	Frappes renforcées par le Ki
Feature/&MonkClassKiEmpoweredStrikesDescription	À partir du niveau 6, vos frappes à mains nues comptent comme magiques dans le but de vaincre la résistance et l'immunité aux attaques et aux dégâts non magiques.
Feature/&MonkClassUnarmoredMovement9Title	Amélioration des mouvements non blindés (surfaces verticales)
Feature/&MonkClassUnarmoredMovement9Description	Au niveau 9, vous gagnez la capacité de vous déplacer le long de surfaces verticales et à travers des liquides à votre tour sans tomber pendant votre déplacement.
Feature/&MonkClassStillnessOfMindTitle	Calme de l'esprit
Feature/&MonkClassStillnessOfMindDescription	À partir du niveau 7, vous pouvez utiliser votre action pour mettre fin à un effet sur vous-même qui vous charme ou vous fait peur.
Feature/&MonkClassPurityOfBodyTitle	Pureté du corps
Feature/&MonkClassPurityOfBodyDescription	Au niveau 10, votre maîtrise du ki qui vous traverse vous rend immunisé contre les maladies et le poison.
Subclass/&MonkSubclassWayOfTheOpenHandTitle	Voie de la main ouverte
Subclass/&MonkSubclassWayOfTheOpenHandDescription	Les moines de la Voie de la Main Ouverte sont les maîtres ultimes du combat d'arts martiaux, qu'ils soient armés ou non. Ils apprennent des techniques pour pousser et faire trébucher leurs adversaires, manipuler le ki pour soigner les dommages causés à leur corps et pratiquer une méditation avancée qui peut les protéger du mal.
Feature/&MonkSubclassWayOfTheOpenHandTechniqueTitle	Technique de la main ouverte
Feature/&MonkSubclassWayOfTheOpenHandTechniqueDescription	À partir du moment où vous choisissez cette tradition au niveau 3, vous pouvez manipuler le ki de votre ennemi lorsque vous exploitez le vôtre. À chaque fois que vous touchez une créature avec l'une des attaques accordées par votre Rafale de coups, vous pouvez imposer l'un des effets suivants à cette cible :\n- Il doit réussir un jet de sauvegarde de Dextérité ou être mis à terre.\n- Il doit effectuer un jet de sauvegarde de Force. S'il échoue, vous pouvez le pousser jusqu'à 15 pieds de vous.\n- Il ne peut pas prendre de réactions avant la fin de votre prochain tour.
Feature/&MonkSubclassWayOfTheOpenHandForbidReactionTitle	Technique de la main ouverte : Interdire les réactions
Feature/&MonkSubclassWayOfTheOpenHandForbidReactionDescription	La cible ne peut pas réagir avant la fin de votre prochain tour.
Rules/&ConditionMonkSubclassWayOfTheOpenHandForbidReactionPowerTitle	Réactions interdites
Rules/&ConditionMonkSubclassWayOfTheOpenHandForbidReactionPowerDescription	Vous ne pouvez pas prendre de réactions.
Reaction/&SpendMonkSubclassWayOfTheOpenHandForbidReactionPowerReactDescription	Empêcher la cible d'utiliser des réactions.
Feature/&MonkSubclassWayOfTheOpenHandPushTitle	Technique de la main ouverte : pousser
Feature/&MonkSubclassWayOfTheOpenHandPushDescription	La cible doit effectuer un jet de sauvegarde de Force. S'il échoue, vous pouvez le pousser jusqu'à 15 pieds de vous.
Reaction/&SpendMonkSubclassWayOfTheOpenHandPushPowerReactDescription	Essayez de pousser la cible.
Feature/&MonkSubclassWayOfTheOpenHandKnockTitle	Technique de la main ouverte : frapper
Feature/&MonkSubclassWayOfTheOpenHandKnockDescription	La cible doit réussir un jet de sauvegarde de Dextérité ou être mise à terre.
Reaction/&SpendMonkSubclassWayOfTheOpenHandKnockPowerReactDescription	Tentative de renverser la cible.
Feature/&MonkSubclassWayOfTheOpenHandWholenessOfBodyTitle	Intégrité du corps
Feature/&MonkSubclassWayOfTheOpenHandWholenessOfBodyDescription	Au niveau 6, vous gagnez la capacité de vous soigner. Par une action, vous pouvez récupérer des points de vie égaux à trois fois votre niveau de moine. Vous devez terminer un repos long avant de pouvoir réutiliser cette fonction.
Subclass/&MonkSubclassWayOfThePyrokineTitle	Voie de la flamme brûlante
Subclass/&MonkSubclassWayOfThePyrokineDescription	Lorsque vous regardez dans les flammes, elles ne se contentent pas de vous regarder, elles regardent dans votre âme et allument le feu éternel qui brûle à l'intérieur. Avec de la pratique et de la discipline, vous exploitez cette flamme interne, la manifestant pour que vos frappes brûlent la chair, vos coups brûlent vos ennemis.
Feature/&MonkSubclassWayOfThePyrokineTechniqueTitle	Technique flamboyante
Feature/&MonkSubclassWayOfThePyrokineTechniqueDescription	Lorsque vous choisissez cette tradition au niveau 3, vous apprenez à invoquer la flamme en utilisant le ki. À chaque fois que vous touchez une créature avec l'une des attaques accordées par votre Rafale de coups, vous pouvez imposer l'un des effets suivants à cette cible :\n- Il doit réussir un jet de sauvegarde de Dextérité sinon il s'enflamme. Jusqu'à ce qu'une créature fasse une action pour éteindre le feu, la cible subit 2 (1d4) dégâts de feu au début de chacun de ses tours.\n -Il subit 1d4 dégâts de feu supplémentaires.\n -Il doit réussir un jet de sauvegarde de Sagesse ou devenir aveugle jusqu'à la fin de votre prochain tour.
Feature/&MonkSubclassWayOfThePyrokineBurnTitle	Technique de flambage : s'enflammer
Feature/&MonkSubclassWayOfThePyrokineBurnDescription	La cible doit réussir un jet de sauvegarde de Dextérité ou elle s'enflamme. La cible subit (1d4) dégâts de feu au début de chacun de ses tours. À chaque tour, la cible peut tenter un jet de sauvegarde de Dextérité ; la condition est supprimée en cas de succès.
Rules/&ConditionMonkSubclassWayOfThePyrokineBurnPowerTitle	Brûlant
Rules/&ConditionMonkSubclassWayOfThePyrokineBurnPowerDescription	Vous subissez 1d4 dégâts de feu au début de chaque tour, jusqu'à ce que vous réussissiez un jet de sauvegarde de Dextérité.
Reaction/&SpendMonkSubclassWayOfThePyrokineBurnPowerReactDescription	Tenter d'enflammer la cible.
Feature/&MonkSubclassWayOfThePyrokineDamageTitle	Technique flamboyante : Dégâts
Feature/&MonkSubclassWayOfThePyrokineDamageDescription	La cible subit 1d4 points de dégâts de feu supplémentaires.
Reaction/&SpendMonkSubclassWayOfThePyrokineDamagePowerReactDescription	Inflige des dégâts de feu supplémentaires à la cible.
Feature/&MonkSubclassWayOfThePyrokineBlindTitle	Technique de flambage : aveugle
Feature/&MonkSubclassWayOfThePyrokineBlindDescription	La cible doit réussir un jet de sauvegarde de Sagesse ou être aveuglée jusqu'à la fin de votre prochain tour.
Reaction/&SpendMonkSubclassWayOfThePyrokineBlindPowerReactDescription	Tentative d'aveugler la cible.
Feature/&MonkSubclassWayOfThePyrokineBurningDevotionTitle	Dévotion ardente
Feature/&MonkSubclassWayOfThePyrokineBurningDevotionDescription	Au niveau 6, vous gagnez en résistance aux dégâts de feu.
Subclass/&MonkSubclassWayOfIronTitle	Voie du fer
Subclass/&MonkSubclassWayOfIronDescription	Les monastères dispersés à travers le monde offrent des moyens d'atteindre l'illumination. Ce que signifie l'illumination varie d'un monastère à l'autre. Pour certains, cela pourrait être d'unir le corps et l'esprit pour transcender les limites de la forme physique et pour d'autres, cela pourrait signifier devenir un avec l'univers.\nLes adeptes de la Voie du Fer recherchent la tranquillité dans l'art du combat. Contrairement à d'autres traditions monastiques, la Voie du Fer se concentre sur l'utilisation d'armes, les traitant comme des extensions du propre corps du moine. Les adeptes de la Voie du fer sont généralement des combattants de première ligne, laissant leurs tempes derrière eux pour se joindre à la danse de la bataille au coude à coude avec les soldats de base. Les Grands Maîtres de la Voie du Fer manient n'importe quelle arme avec une telle grâce et facilité que les armes semblent avoir toujours fait partie d'elles, comme le seraient une main ou un œil, et leurs mouvements et attaques sont pleins d'arcs gracieux et de fioritures virevoltantes qui font que la bataille ressemble plus à une danse qu'à un conflit.\nLes adeptes de la Voie du fer s'entraînent sans relâche les uns avec les autres et comptent parmi les duellistes les plus exceptionnels au monde, ayant perfectionné leurs compétences contre les meilleurs guerriers que leurs temples ont à offrir.
Feature/&MonkSubclassWayOfIronRoilingStormOfIronTitle	Tempête de fer tourbillonnante
Feature/&MonkSubclassWayOfIronRoilingStormOfIronDescription	À partir du moment où vous choisissez cette tradition au niveau 3, vous maîtrisez toutes les armes, les armures légères et moyennes et les boucliers, et si vous portez une armure, vous pouvez utiliser toutes vos fonctionnalités mon, comme si vous n'étiez pas blindé, à l'exception de la défense non blindée. De plus, toutes les armes de mêlée qui n'ont pas la propriété lourde sont des armes de moine pour vous.
Feature/&MonkSubclassWayOfIronShiftingBladesTitle	Lames changeantes
Feature/&MonkSubclassWayOfIronShiftingBladesDescription	Au niveau 6, les attaques que vous effectuez avec des armes de moine comptent comme magiques dans le but de vaincre la résistance et l'immunité aux attaques et aux dégâts non magiques.
Feature/&MonkSubclassWayOfIronTestOfSkillTitle	Test de compétence
Feature/&MonkSubclassWayOfIronTestOfSkillDescription	au niveau 3, vous pouvez contraindre d'autres créatures à vous engager dans un test d'habileté martiale. Une créature que vous pouvez voir, qui se trouve à 9 mètres ou moins de vous et qui peut entendre et comprendre, vous devez effectuer un jet de sauvegarde de Sagesse. En cas d'échec au jet de sauvegarde, pendant 1 minute, la créature a un désavantage aux jets d'attaque contre des créatures autres que vous. Cet effet prend fin si une créature qui vous est amie blesse la créature affectée ou lance un sort néfaste sur elle.
