Subclass/&MonkSubclassMonasticTraditionTitle	Tradição monástica
Subclass/&MonkSubclassMonasticTraditionDescription	Selecione uma tradição monástica
Stage/&SubclassSelectionStageMonasticTraditionHeader	Tradição monástica
Stage/&SubclassSelectionStageMonasticTraditionTitle	Tradição Monástica Monástica
Stage/&SubclassSelectionStageMonasticTraditionFeatures	Características da tradição monástica
Class/&MonkClassTitle	Monge
Class/&MonkClassDescription	Para a habilidade marcial verdadeiramente exemplar, transcende o campo de batalha - é um estilo de vida, uma doutrina, um estado de espírito. Esses guerreiros-artistas buscam métodos de batalha além das espadas e escudos, encontrando armas dentro de si mesmos tão capazes de incapacitar ou matar quanto qualquer lâmina. Esses monges (assim chamados porque aderem a filosofias antigas e disciplinas marciais rígidas) elevam seus corpos para se tornarem armas de guerra, de ascetas com mentalidade de batalha a lutadores autodidatas. Os monges trilham o caminho da disciplina, e aqueles com vontade de seguir esse caminho descobrem dentro de si não o que são, mas o que devem ser.
Feature/&MonkWeaponProficiencyTitle	Proficiências com armas monge
Feature/&MonkArmorProficiencyTitle	Proficiências em armadura de monge
Feature/&MonkClassSkillPointPoolTitle	Habilidades de Monge
Feature/&MonkClassUnarmoredDefenseTitle	Defesa sem armadura
Feature/&MonkClassUnarmoredDefenseDescription	Começando no 1º nível, enquanto você não está usando armadura e não empunha um escudo, sua CA é igual a 10 + seu modificador de Destreza + seu modificador de Sabedoria.
Feature/&MonkClassMartialArtsTitle	Artes marciais
